"('android.permission.WRITE_EXTERNAL_STORAGE  android.permission.INTERNET  android.permission.ACCESS_NETWORK_STATE  android.permission.READ_EXTERNAL_STORAGE','POSITIVE')",,,,,,,,,,,,
"('android.permission.MODIFY_AUDIO_SETTINGS  android.permission.INTERNET  android.permission.ACCESS_WIFI_STATE  android.permission.ACCESS_NETWORK_STATE  android.permission.READ_PHONE_STATE  android.permission.READ_LOGS  android.permission.WRITE_EXTERNAL_STORAGE  android.permission.WRITE_SETTINGS  android.permission.WAKE_LOCK  android.permission.READ_EXTERNAL_STORAGE','NEGATIVE')",,,,,,,,,,,,
"('android.permission.MODIFY_AUDIO_SETTINGS  android.permission.WRITE_SETTINGS  android.permission.WRITE_EXTERNAL_STORAGE  android.permission.READ_EXTERNAL_STORAGE','POSITIVE')",,,,,,,,,,,,
"('com.android.vending.BILLING  android.permission.WRITE_EXTERNAL_STORAGE  android.permission.INTERNET  android.permission.ACCESS_NETWORK_STATE  android.permission.READ_EXTERNAL_STORAGE','NEGATIVE')",,,,,,,,,,,,
"('android.permission.ACCESS_NETWORK_STATE  android.permission.INTERNET','POSITIVE')",,,,,,,,,,,,
"('android.permission.INTERNET  android.permission.ACCESS_NETWORK_STATE  android.permission.WRITE_EXTERNAL_STORAGE  android.permission.READ_PHONE_STATE  android.permission.GET_ACCOUNTS  android.permission.WAKE_LOCK  com.beiz.lolaispy.permission.C2D_MESSAGE  com.google.android.c2dm.permission.RECEIVE  android.permission.READ_EXTERNAL_STORAGE','POSITIVE')",,,,,,,,,,,,
('android.permission.VIBRATE  android.permission.ACCESS_COARSE_LOCATION  android.permission.ACCESS_FINE_LOCATION  android.permission.READ_PHONE_STATE  android.permission.INTERNET  android.permission.WRITE_EXTERNAL_STORAGE  android.permission.ACCESS_NETWORK_STATE  android.permission.GET_ACCOUNTS  android.permission.WAKE_LOCK  android.permission.CAMERA  com.conduit.app_acbf2525e4034a8bb0391fdcce555625.app.permissi,on.,C2D_MESSAGE,com.google.android,.c2dm.perm,ission.RECEIVE,com,.cond,uit,.app_acbf2525e4034a8bb0391fdcce,555625.app.permissio,n.RE,"CEIVE_ADM_MESSAGE  com.amazon.device.messaging.permission.RECEIVE  android.permission.READ_EXTERNAL_STORAGE','POSITIVE')"
('android.permission.RECORD_AUDIO  com.android.vending.BILLING  android.permission.ACCESS_SURFACE_FLINGER  android.permission.INTERNET  android.permission.READ_PHONE_STATE  android.permission.WAKE_LOCK  android.permission.WRITE_EXTERNAL_STORAGE  android.permission.ACCESS_NETWORK_STATE  android.permission.ACCESS_COARSE_LOCATION  android.permission.ACCESS_FINE_LOCATION  android.permission.ACCESS_WIFI_STATE  androi,d.p,ermission.R,EAD_EXTERNAL_STORAGE,android.,permission.SET,_WALL,PAPER,c,om.android.launcher.permission.,"INSTALL_SHORTCUT','P",OSIT,IVE')
"('android.permission.INTERNET  android.permission.ACCESS_NETWORK_STATE','POSITIVE')",,,,,,,,,,,,
"('android.permission.READ_PHONE_STATE  android.permission.INTERNET  android.permission.ACCESS_NETWORK_STATE  android.permission.WRITE_EXTERNAL_STORAGE  android.permission.SET_WALLPAPER  android.permission.SET_WALLPAPER_HINTS  android.permission.ACCESS_WIFI_STATE  android.permission.WAKE_LOCK  android.permission.RECEIVE_BOOT_COMPLETED  android.permission.READ_EXTERNAL_STORAGE','NEGATIVE')",,,,,,,,,,,,
"('android.permission.WRITE_EXTERNAL_STORAGE  android.permission.INTERNET  android.permission.ACCESS_WIFI_STATE  android.permission.ACCESS_NETWORK_STATE  android.permission.READ_PHONE_STATE  android.permission.READ_EXTERNAL_STORAGE','NEGATIVE')",,,,,,,,,,,,
"('com.android.vending.BILLING  android.permission.INTERNET  com.android.vending.CHECK_LICENSE  android.permission.ACCESS_NETWORK_STATE','POSITIVE')",,,,,,,,,,,,
"('android.permission.INTERNET','POSITIVE')",,,,,,,,,,,,
"('android.permission.WRITE_EXTERNAL_STORAGE  android.permission.WAKE_LOCK  android.permission.KILL_BACKGROUND_PROCESSES  android.permission.READ_EXTERNAL_STORAGE','POSITIVE')",,,,,,,,,,,,
"('android.permission.WAKE_LOCK  android.permission.VIBRATE  android.permission.INTERNET  android.permission.ACCESS_NETWORK_STATE','POSITIVE')",,,,,,,,,,,,
"('pt.sapo.mobile.android.futebol.permission.C2D_MESSAGE  com.google.android.c2dm.permission.RECEIVE  android.permission.INTERNET  android.permission.VIBRATE  android.permission.GET_TASKS  android.permission.WAKE_LOCK  android.permission.ACCESS_NETWORK_STATE','POSITIVE')",,,,,,,,,,,,
